maxbin.080_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micavibrionales	f__Micavibrionaceae	g__UBA9664	s__
maxbin.038	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA7879	f__	g__	s__
metabat.100	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__GCA-2699025	s__
concoct.035	d__Bacteria	p__Myxococcota	c__Bradimonadia	o__Bradymonadales	f__	g__	s__
concoct.112	d__Bacteria	p__Myxococcota	c__Bradimonadia	o__Bradymonadales	f__	g__	s__
metabat.069	d__Bacteria	p__Myxococcota_B	c__UBA6777	o__UBA6777	f__	g__	s__
bin3c.007	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__Oligoflexaceae	g__	s__
maxbin.042_sub	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__	g__	s__
concoct.140	d__Bacteria	p__Sumerlaeota	c__Sumerlaeia	o__SLMS01	f__SLMS01	g__	s__
bin3c.035	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Winogradskyella	s__
metabat.077	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Vicingaceae	g__	s__
concoct.051	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__SW-11-45-7	g__	s__
metabat.053	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Phaeodactylibacter	s__
metabat.023	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Flavilitoribacter	s__
maxbin.014_sub	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Jiulongibacter	s__
bin3c.022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__	s__
maxbin.022	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__GCA-002839825	g__PGYR01	s__
