Bin Id	Bin size (Mbp)	sorted_alignment: mapped reads	sorted_alignment: % mapped reads	sorted_alignment: % binned populations	sorted_alignment: % community
15	1.671743	100273	0.08225762306912837	1.1847186649108974	0.19641056186928038
29_sub	4.967702	391133	0.32086075896699395	1.5551405974251067	0.2578215804078398
38_sub	2.093827	111094	0.09113448662393413	1.0479740865124332	0.173740133630657
44	3.742606	146080	0.11983478681138764	0.7709343315396261	0.1278106353067412
77_sub	4.87924	1844807	1.5133629076749424	7.467917176427591	1.2380811175332578
86_sub	3.717567	246985	0.20261086268216436	1.3122376964865754	0.21755151742490939
CL001_sub	6.393262	764368	0.6270391314721162	2.361460743218192	0.39149871201076847
CL003	5.15008	1336662	1.0965129094255408	5.126351271737507	0.8498807045443065
CL008	4.190516	3338222	2.7384660576333792	15.734336986782244	2.608543327412613
CL011_sub	4.047159	768888	0.630747053407956	3.7524382284552202	0.6221042367776725
CL013	3.621761	434291	0.3562648507605719	2.3684366731528255	0.39265522820199866
CL015_sub	3.548217	413323	0.3390640305944905	2.3008067149171794	0.38144308266088134
CL017	3.205895	342420	0.28089969674120585	2.1096507499728583	0.3497519718584679
CL018_sub	2.973638	519538	0.4261960944031674	3.450880781030609	0.5721100318758796
CL019	2.97891	462559	0.37945412892037683	3.0669767850081486	0.5084638669289431
CL022	2.782049	221052	0.1813370707436395	1.569388295306839	0.26018365878912814
CL048	0.80763	52170	0.04279696623733634	1.2758779430058569	0.21152355498784123
algae.020	3.875766	1516517	1.244054568666793	7.728415628581965	1.28126828835205
algae.021_sub	4.410403	1515507	1.2432260285882095	6.787039978468075	1.1252007544765419
algae.031_sub	4.115145	603308	0.49491570072292335	2.8957074087938484	0.4800696874417972
algae.048_sub	0.516181	30118	0.02470690107602254	1.1524573177460713	0.1910620605659942
algae.072_sub	3.066304	99850	0.081910620640177	0.6431815755978196	0.10663093136684723
algae.17	2.688636	317484	0.26044378050401557	2.332333066701901	0.38666973152792816
algae.19_sub	4.489253	396110	0.32494357477997504	1.7427795714117782	0.288929620992369
algae.20_sub	3.234109	209807	0.1721123844231709	1.2813449349982484	0.2124299093829931
algae.23_sub	3.068333	776041	0.6366149219050935	4.995545411791056	0.8281948366595383
algae.24_sub	4.532388	548757	0.4501655127755794	2.391408275173388	0.39646361359637877
algae.28	3.888371	467110	0.3831874812942721	2.372751217971871	0.39337052221839086
algae.3	5.000607	739756	0.6068490043294419	2.921907797546179	0.4844133626352878
algae.35	3.440797	448784	0.36815399071989174	2.5761968792011625	0.4270991008382928
algae.50	6.358466	314645	0.2581148445801551	0.9773929835245967	0.16203872762956462
algae.51	4.378503	344331	0.28246736019682306	1.5532852128437236	0.257513982377264
algae.6	6.418624	387598	0.3179608686919511	1.1927250137585779	0.19773790778039815
unbinned	366.143732	101691576	83.42133303993717	NA	83.42133303993717
